epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4418.57,1.01904,0.62074,1.34655,0.99582,0.92,0.92689,0.7025,1.01998,0.62411,1.30863,0.0011585,0.0011585,0.0011585
87,4469.42,0.96168,0.60278,1.28481,1,0.91513,0.94945,0.67542,1.09865,0.65067,1.46397,0.0011486,0.0011486,0.0011486
88,4520.27,0.9925,0.62404,1.32412,1,0.91827,0.96016,0.72595,0.99549,0.76908,1.39976,0.0011387,0.0011387,0.0011387
89,4571.16,0.98676,0.61057,1.30197,0.99591,0.92,0.96303,0.70569,1.11567,0.62459,1.41146,0.0011288,0.0011288,0.0011288
90,4622.03,1.00104,0.63089,1.32696,0.99982,0.92,0.94207,0.70397,1.07464,0.54109,1.58822,0.0011189,0.0011189,0.0011189
91,4672.84,0.98803,0.61652,1.29967,1,0.91775,0.96167,0.75378,0.92244,0.64223,1.31674,0.001109,0.001109,0.001109
92,4723.68,0.982,0.64216,1.2964,0.9583,0.91928,0.94159,0.70228,0.98752,0.67461,1.426,0.0010991,0.0010991,0.0010991
93,4774.54,0.98414,0.59379,1.2985,1,0.91489,0.95006,0.69718,1.11712,0.57522,1.46061,0.0010892,0.0010892,0.0010892
94,4825.38,0.96513,0.60092,1.28319,0.95473,0.92,0.95086,0.6584,1.21811,0.66879,1.63422,0.0010793,0.0010793,0.0010793
95,4876.24,0.96745,0.60336,1.27484,0.99091,0.88,0.93853,0.72995,1.06276,0.61353,1.51515,0.0010694,0.0010694,0.0010694
96,4927.1,0.93569,0.59188,1.26828,0.96193,0.88,0.95629,0.71349,1.02025,0.63986,1.39019,0.0010595,0.0010595,0.0010595
97,4977.99,0.93932,0.59716,1.26209,0.99748,0.92,0.96763,0.7071,1.08233,0.62376,1.513,0.0010496,0.0010496,0.0010496
98,5028.85,1.03341,0.6393,1.32655,0.99645,0.92,0.95908,0.7253,0.99219,0.53304,1.36264,0.0010397,0.0010397,0.0010397
99,5079.67,1.00629,0.61647,1.32687,1,0.91758,0.94289,0.70302,0.9797,0.62875,1.32815,0.0010298,0.0010298,0.0010298
100,5130.53,0.94351,0.59631,1.27756,0.99652,0.92,0.94916,0.73284,0.98606,0.5142,1.40613,0.0010199,0.0010199,0.0010199
101,5181.38,0.95061,0.57278,1.26516,0.99339,0.92,0.9245,0.72263,1.00366,0.57738,1.37338,0.00101,0.00101,0.00101
102,5232.25,0.93615,0.59894,1.27108,1,0.91997,0.93432,0.71326,0.97557,0.54291,1.31669,0.0010001,0.0010001,0.0010001
103,5283.07,0.93119,0.573,1.25642,0.9891,0.92,0.98764,0.69433,1.03739,0.56139,1.3576,0.0009902,0.0009902,0.0009902
104,5333.93,0.90804,0.56725,1.24684,1,0.91752,0.96683,0.73837,1.00962,0.52301,1.45995,0.0009803,0.0009803,0.0009803
105,5384.76,0.89614,0.5457,1.26228,1,0.91783,0.94974,0.69456,1.05752,0.65843,1.34105,0.0009704,0.0009704,0.0009704
106,5435.72,0.90127,0.55012,1.26983,0.99672,0.92,0.94744,0.70341,1.0793,0.50976,1.51363,0.0009605,0.0009605,0.0009605
107,5487.27,0.90824,0.55929,1.25628,0.99566,0.92,0.97,0.72505,1.02925,0.58167,1.4629,0.0009506,0.0009506,0.0009506
108,5538.09,0.92547,0.57721,1.2829,1,0.91576,0.95417,0.73751,0.94334,0.56726,1.28206,0.0009407,0.0009407,0.0009407
109,5588.91,0.89001,0.5701,1.2424,0.9961,0.88,0.96241,0.69231,1.049,0.55922,1.37353,0.0009308,0.0009308,0.0009308
110,5639.73,0.89593,0.5705,1.22696,1,0.95041,0.975,0.73022,1.00453,0.52189,1.35015,0.0009209,0.0009209,0.0009209
111,5690.57,0.95587,0.58629,1.25714,1,0.95374,0.98948,0.7052,1.10138,0.54494,1.46275,0.000911,0.000911,0.000911
112,5741.46,0.89833,0.56573,1.24905,0.99132,0.92,0.9545,0.72424,1.06912,0.60592,1.43913,0.0009011,0.0009011,0.0009011
113,5792.27,0.89356,0.54054,1.21725,0.99433,0.92,0.96537,0.70232,1.15962,0.57379,1.50769,0.0008912,0.0008912,0.0008912
114,5844.68,0.89142,0.54361,1.2392,0.99685,0.92,0.97083,0.77418,0.9794,0.58529,1.5395,0.0008813,0.0008813,0.0008813
115,5896.23,0.89112,0.55082,1.22214,1,0.91552,0.96628,0.74705,0.99476,0.50038,1.33675,0.0008714,0.0008714,0.0008714
116,5947.97,0.88621,0.55674,1.2321,0.99602,0.88,0.96026,0.75795,1.05101,0.56116,1.38474,0.0008615,0.0008615,0.0008615
117,5999.59,0.85766,0.56189,1.22684,1,0.9197,0.96697,0.73153,1.03488,0.50849,1.44095,0.0008516,0.0008516,0.0008516
118,6051.25,0.90582,0.55697,1.24132,0.95975,0.95411,0.98911,0.75364,1.06289,0.61578,1.52441,0.0008417,0.0008417,0.0008417
119,6102.87,0.8917,0.54593,1.21835,1,0.91728,0.96735,0.75602,0.99142,0.5259,1.35866,0.0008318,0.0008318,0.0008318
120,6154.54,0.86185,0.52768,1.20703,0.95983,0.95585,0.96878,0.71711,1.03869,0.65406,1.47721,0.0008219,0.0008219,0.0008219
121,6206.15,0.89692,0.55736,1.23196,0.9591,1,0.99192,0.72761,1.10636,0.53286,1.49477,0.000812,0.000812,0.000812
122,6257.78,0.8592,0.5414,1.23084,1,0.91917,0.98764,0.7356,1.13988,0.53987,1.66949,0.0008021,0.0008021,0.0008021
123,6309.44,0.87803,0.54177,1.24699,1,0.91826,0.98907,0.74235,1.04703,0.58585,1.52027,0.0007922,0.0007922,0.0007922
124,6360.25,0.84386,0.53023,1.20224,0.99702,0.92,0.97972,0.72066,1.09192,0.58688,1.5838,0.0007823,0.0007823,0.0007823
125,6411.06,0.85735,0.51777,1.20236,0.99697,0.92,0.98673,0.74897,1.08275,0.59051,1.50274,0.0007724,0.0007724,0.0007724
126,6461.85,0.86667,0.52882,1.20546,0.99899,0.92,0.98049,0.72263,1.06633,0.60337,1.54447,0.0007625,0.0007625,0.0007625
127,6512.65,0.88306,0.54891,1.22571,0.99774,0.92,0.97997,0.72901,1.10867,0.66196,1.5587,0.0007526,0.0007526,0.0007526
128,6563.44,0.87646,0.54155,1.23026,0.99786,0.92,0.97139,0.75087,1.06127,0.59055,1.52809,0.0007427,0.0007427,0.0007427
129,6614.22,0.8444,0.51719,1.21481,1,0.91814,0.98418,0.7541,0.98271,0.5442,1.44851,0.0007328,0.0007328,0.0007328
130,6665.6,0.84826,0.52476,1.21148,1,0.91579,0.97513,0.74187,0.95372,0.56776,1.36486,0.0007229,0.0007229,0.0007229
131,6717.24,0.82041,0.50355,1.18883,1,0.919,0.99044,0.73948,1.01848,0.55851,1.47861,0.000713,0.000713,0.000713
132,6768.86,0.86446,0.53734,1.20891,0.95972,0.95331,0.95725,0.73333,1.06845,0.52091,1.51525,0.0007031,0.0007031,0.0007031
133,6820.51,0.86419,0.53385,1.20541,0.99866,0.92,0.98389,0.738,1.05131,0.54908,1.49214,0.0006932,0.0006932,0.0006932
134,6872.16,0.83068,0.51136,1.1767,0.89115,1,0.98456,0.74965,1.05618,0.5253,1.43102,0.0006833,0.0006833,0.0006833
135,6923.78,0.79229,0.48568,1.16584,0.95975,0.95401,0.97263,0.74023,1.0022,0.57983,1.4319,0.0006734,0.0006734,0.0006734
136,6975.44,0.83028,0.51607,1.19058,1,0.91782,0.97102,0.71379,1.00251,0.57978,1.38267,0.0006635,0.0006635,0.0006635
137,7026.82,0.85314,0.52701,1.2061,1,0.92836,0.98833,0.71335,1.1085,0.54728,1.49013,0.0006536,0.0006536,0.0006536
138,7078.45,0.85527,0.51712,1.21594,0.997,0.88,0.96912,0.74746,1.05307,0.55239,1.49864,0.0006437,0.0006437,0.0006437
139,7130.06,0.83563,0.50451,1.19205,1,0.91612,0.97561,0.71735,1.07639,0.55249,1.58329,0.0006338,0.0006338,0.0006338
140,7181.67,0.78062,0.4784,1.15458,1,0.91964,0.9756,0.73471,1.07777,0.60458,1.53541,0.0006239,0.0006239,0.0006239
141,7233.35,0.80818,0.4945,1.1738,0.99873,0.92,0.97041,0.75857,1,0.52069,1.39489,0.000614,0.000614,0.000614
142,7285.31,0.85026,0.51277,1.19003,1,0.91988,0.96978,0.75085,1.00186,0.55201,1.4098,0.0006041,0.0006041,0.0006041
143,7337.05,0.79859,0.49257,1.16499,0.99936,0.92,0.95393,0.76284,0.92749,0.59814,1.38812,0.0005942,0.0005942,0.0005942
144,7388.83,0.78567,0.49698,1.15409,1,0.91609,0.96649,0.77649,0.94511,0.55041,1.3281,0.0005843,0.0005843,0.0005843
145,7440.65,0.79611,0.48795,1.16133,1,0.91592,0.98281,0.73759,1.00649,0.53829,1.45536,0.0005744,0.0005744,0.0005744
146,7492.38,0.80586,0.4938,1.17816,1,0.91777,0.98049,0.74173,1.05641,0.54826,1.33607,0.0005645,0.0005645,0.0005645
147,7544.15,0.78497,0.49379,1.15273,1,0.91788,0.94865,0.7617,0.92538,0.47783,1.39637,0.0005546,0.0005546,0.0005546
148,7595.9,0.78797,0.48132,1.17219,1,0.91945,0.95805,0.76503,0.95299,0.50884,1.50706,0.0005447,0.0005447,0.0005447
149,7647.71,0.76119,0.47195,1.16723,0.99806,0.92,0.96409,0.76935,0.96084,0.52063,1.48951,0.0005348,0.0005348,0.0005348
150,7699.47,0.79255,0.48444,1.15304,0.99906,0.92,0.97561,0.75565,1.00596,0.52526,1.51953,0.0005249,0.0005249,0.0005249
151,7751.21,0.80655,0.50878,1.18314,0.95983,0.95599,0.9734,0.76064,0.9025,0.57738,1.31227,0.000515,0.000515,0.000515
152,7802.95,0.78059,0.47276,1.14552,1,0.91787,0.98764,0.75233,1.02679,0.53459,1.42286,0.0005051,0.0005051,0.0005051
153,7854.68,0.76512,0.47362,1.148,0.99786,0.92,0.96724,0.7653,0.95296,0.48676,1.28388,0.0004952,0.0004952,0.0004952
154,7906.37,0.763,0.48413,1.15236,1,0.91717,0.97513,0.74467,0.98873,0.58805,1.40796,0.0004853,0.0004853,0.0004853
155,7957.63,0.80529,0.49398,1.17798,1,0.9183,0.99044,0.75903,0.97356,0.50974,1.43246,0.0004754,0.0004754,0.0004754
156,8008.4,0.80332,0.49157,1.17052,1,0.91898,0.95539,0.73477,0.99117,0.55788,1.37299,0.0004655,0.0004655,0.0004655
157,8059.19,0.74771,0.46518,1.12168,1,0.91745,0.97368,0.7652,1.04284,0.51647,1.36706,0.0004556,0.0004556,0.0004556
158,8109.96,0.78004,0.48075,1.15429,1,0.91937,0.97997,0.76097,0.96201,0.50885,1.4273,0.0004457,0.0004457,0.0004457
159,8160.76,0.75443,0.47291,1.12791,0.99594,0.92,0.96905,0.74712,1.00745,0.56755,1.39424,0.0004358,0.0004358,0.0004358
160,8211.61,0.78136,0.48723,1.15146,0.99859,0.92,0.97627,0.74888,1.04004,0.48821,1.40451,0.0004259,0.0004259,0.0004259
161,8262.42,0.76539,0.46631,1.13883,0.9598,0.95531,0.97192,0.74507,1.06244,0.55322,1.43114,0.000416,0.000416,0.000416
162,8313.23,0.75439,0.47833,1.14898,1,0.91732,0.98397,0.73429,1.08797,0.57313,1.46056,0.0004061,0.0004061,0.0004061
163,8364.05,0.75733,0.47994,1.12422,0.95968,0.95232,0.99192,0.75135,1.00673,0.52712,1.43226,0.0003962,0.0003962,0.0003962
164,8414.84,0.76062,0.47644,1.13734,1,0.91837,0.96969,0.75169,0.9836,0.52342,1.42977,0.0003863,0.0003863,0.0003863
165,8465.61,0.73336,0.46458,1.10304,0.9598,0.95513,0.98788,0.75121,1.02688,0.50234,1.42882,0.0003764,0.0003764,0.0003764
166,8516.39,0.72771,0.45045,1.12656,1,0.95648,0.99204,0.76331,0.95779,0.45608,1.32676,0.0003665,0.0003665,0.0003665
167,8567.18,0.7453,0.4735,1.10753,0.9597,0.95281,0.9837,0.7679,0.98149,0.52475,1.33963,0.0003566,0.0003566,0.0003566
168,8617.97,0.74448,0.47328,1.13294,1,0.95478,0.99071,0.74073,1.02528,0.51762,1.39169,0.0003467,0.0003467,0.0003467
