epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,23568.1,0.7233,0.41173,1.04016,0.94853,0.90451,0.95613,0.7163,1.13893,0.54573,1.48479,0.000148512,0.000148512,0.000148512
162,23712.4,0.71714,0.40296,1.03933,0.94888,0.90709,0.9573,0.71598,1.13344,0.54671,1.4828,0.000144978,0.000144978,0.000144978
163,154.083,0.73192,0.4333,1.05547,0.94733,0.88316,0.95,0.70396,1.15018,0.56562,1.49515,0.000141443,0.000141443,0.000141443
164,307.273,0.73908,0.42617,1.05203,0.94642,0.88631,0.9515,0.7094,1.14257,0.55982,1.49315,0.000137909,0.000137909,0.000137909
165,463.855,0.72426,0.41529,1.05306,0.9508,0.88851,0.95096,0.70862,1.14146,0.5577,1.48748,0.000134375,0.000134375,0.000134375
166,622.999,0.7106,0.40411,1.04433,0.95254,0.88933,0.95301,0.70887,1.14441,0.5535,1.48912,0.000130841,0.000130841,0.000130841
167,780.885,0.71248,0.40806,1.04163,0.94057,0.90212,0.95282,0.70969,1.1383,0.55124,1.48812,0.000127306,0.000127306,0.000127306
168,935.284,0.71238,0.40867,1.0411,0.94983,0.89729,0.95406,0.71049,1.136,0.54993,1.49059,0.000123772,0.000123772,0.000123772
169,1116.98,0.71683,0.41024,1.03584,0.95326,0.89715,0.95431,0.70967,1.14236,0.54988,1.49828,0.000120238,0.000120238,0.000120238
170,1264.66,0.70005,0.40126,1.02496,0.94857,0.90121,0.95464,0.71087,1.13664,0.55394,1.48978,0.000116703,0.000116703,0.000116703
171,1412.34,0.70072,0.40292,1.03618,0.95666,0.89992,0.95573,0.71115,1.13532,0.5513,1.49101,0.000113169,0.000113169,0.000113169
172,1560.04,0.6896,0.3969,1.03032,0.95936,0.89934,0.95867,0.71158,1.13612,0.54493,1.49347,0.000109635,0.000109635,0.000109635
173,1707.69,0.69885,0.40049,1.03569,0.95951,0.90475,0.95877,0.7126,1.13789,0.54585,1.49062,0.0001061,0.0001061,0.0001061
174,1932.8,0.6943,0.39855,1.03136,0.95813,0.89802,0.95616,0.71308,1.13383,0.55008,1.48674,0.000102566,0.000102566,0.000102566
175,2104.01,0.69446,0.40347,1.02208,0.95955,0.90111,0.95726,0.71256,1.13691,0.54775,1.49338,9.90318e-05,9.90318e-05,9.90318e-05
176,2247.39,0.69089,0.39634,1.02983,0.95879,0.89967,0.9583,0.71166,1.13657,0.54748,1.5022,9.54975e-05,9.54975e-05,9.54975e-05
177,2390.28,0.67576,0.38582,1.01515,0.95668,0.90047,0.95665,0.71365,1.13409,0.54726,1.49977,9.19632e-05,9.19632e-05,9.19632e-05
178,2533.15,0.68804,0.3965,1.02338,0.96228,0.90023,0.95779,0.71258,1.13875,0.55149,1.50042,8.84289e-05,8.84289e-05,8.84289e-05
179,2677.06,0.67555,0.39116,1.01578,0.95783,0.90524,0.95954,0.71348,1.13863,0.55058,1.50519,8.48946e-05,8.48946e-05,8.48946e-05
180,2821.81,0.67379,0.38956,1.01562,0.95534,0.90036,0.95884,0.71585,1.13928,0.54865,1.51065,8.13603e-05,8.13603e-05,8.13603e-05
181,2986.59,0.66263,0.37587,1.01005,0.95045,0.90948,0.95966,0.71427,1.13839,0.54727,1.51246,7.7826e-05,7.7826e-05,7.7826e-05
